company_name,city,state,pin_code,company_type,contact_number,company_website
 KUN United Car Trax Pvt Ltd( Hyundai)  ,Hyderabad,Telangana,500004, SMEs, (040) 44351130,"<a href=""http://www.kununited.com""  target=""_blank"">www.kununited.com</a>"
 Lakshya Motors Sales And Services  ,Pune,Maharashtra,411042, SMEs, (020) 30025533,Website Not Found
" Lahori Cars, Jammu  ",Jammu,Jammu&Kashmir,180010, Industry Top, (0191) 8716900050,Website Not Found
 Lasko Engineering Co.  ,Jalandhar,Punjab,144004, SMEs, (0181) 2690968  2690294,"<a href=""http://www.laskoengg.com""  target=""_blank"">www.laskoengg.com</a>"
" Lexus Motors, Cuttack  ",Cuttak,Orissa,753011, SMEs, (0671) 9861496199,Website Not Found
 LR Auto  ,Raipur,Chattisgarh,492001, Industry Top, (0771) 6554440,Website Not Found
 M K Fasteners  ,Bangalore,Karnataka,560099, Industry Top, (080) 27831692  27831072,"<a href=""http://www.mkfasteners.in""  target=""_blank"">www.mkfasteners.in</a>"
 M K Autocomponents India Ltd  ,Chennai,TamilNadu,600058, SMEs, (044) 42029285,"<a href=""http://www.mkautocomponents.com""  target=""_blank"">www.mkautocomponents.com</a>"
 M K Auto Clutch Industries  ,NewDelhi,Delhi,110054, Industry Top, (011) 23945900,"<a href=""http://www.mkautoindia.com""  target=""_blank"">www.mkautoindia.com</a>"
 M G Brothers Automobiles Pvt Ltd  ,Nellore,AndhraPradesh,524001, Industry Top, (0861) 9247000001,Website Not Found
 M D Industries  ,Nashik,Maharashtra,422010, Industry Top, (0253) 2380282  2383282,"<a href=""http://www.mdindustries.com""  target=""_blank"">www.mdindustries.com</a>"
 M A Motors Pvt Ltd (Tata)  ,Kolkata,WestBengal,700064, SMEs, (033) 9831118666,Website Not Found
 M & M Motors  ,Kochi,Kerala,682017, SMEs, (0484) 4045646,Website Not Found
 M & M Machine Craft Pvt Ltd  ,Gurgaon,Haryana,122004, Industry Top, (0124) 2370835  2370836,"<a href=""http://www.mmmcpl.com""  target=""_blank"">www.mmmcpl.com</a>"
 Luxury On Wheels  ,Hyderabad,Telangana,500082, SMEs, (040) 23413699 8886312221,"<a href=""http://luxuryonwheels.in""  target=""_blank"">luxuryonwheels.in</a>"
 Lunar Motors Pvt Ltd  ,Valsad,Gujarat,396001, SMEs, (02632) 227137,"<a href=""http://www.lunarmotors.com""  target=""_blank"">www.lunarmotors.com</a>"
 Lumax Industries Ltd ,NewDelhi,Delhi,110064, India's Top 500, (011) 28116990  28111777,"<a href=""http://www.lumaxindustries.com""  target=""_blank"">www.lumaxindustries.com</a>"
 Lumax DK Auto Industries Ltd ,Gurgaon,Haryana,122001, Industry Top, (0124) 4182600,"<a href=""http://www.lumaxdk.com""  target=""_blank"">www.lumaxdk.com</a>"
 Lumax Auto Technologies Ltd ,Pune,Maharashtra,411026, Industry Top, (020) 66304606  66304605,"<a href=""http://www.lumaxautotech.com""  target=""_blank"">www.lumaxautotech.com</a>"
 Luman Automotive Systems (P) Ltd  ,NewDelhi,Delhi,110041, SMEs, (011) 25472564  9999337451,"<a href=""http://www.lumanauto.com""  target=""_blank"">www.lumanauto.com</a>"
 Lucky Exports  ,Ludhiana,Punjab,141010, SMEs, (0161) 2672002,"<a href=""http://www.luckyexportsindia.com""  target=""_blank"">www.luckyexportsindia.com</a>"
 Lucky E Bikes  ,NewDelhi,Delhi,110040, SMEs, (011) 9268592431,"<a href=""http://heroelectric.in""  target=""_blank"">heroelectric.in</a>"
 Lucky Automotives Pvt Ltd  ,Vijayawada,AndhraPradesh,521108, SMEs, (0866) 2844111,Website Not Found
 Lucas-TVS Ltd(Auto Electrical Division) ,Chennai,TamilNadu,600050, Industry Top, (044) 26235413  26258211,"<a href=""http://www.lucas-tvs.com""  target=""_blank"">www.lucas-tvs.com</a>"
 Lucas Indian Service Ltd ,Chennai,TamilNadu,600032, Industry Top, (044) 22255032  22255034,"<a href=""http://www.lucas-service.in""  target=""_blank"">www.lucas-service.in</a>"
 LRN Motors  ,Salem,TamilNadu,636201, SMEs, (0427) 2464466  2465566,Website Not Found
 LPF System Pvt Ltd  ,Secunderabad,AndhraPradesh,500003, SMEs, (040) 27543372,"<a href=""http://lpfsystems.in""  target=""_blank"">lpfsystems.in</a>"
 Lovely Autos  ,Jalandhar,Punjab,144001, Industry Top, (0181) 2237001,"<a href=""http://www.lovelyautos.in""  target=""_blank"">www.lovelyautos.in</a>"
 Lord Wheels Pvt Ltd  ,Dehradun,Uttaranchal,248001, SMEs, (0135) 7088070880,Website Not Found
 Lokesh Machines Ltd  ,Hyderabad,Telangana,500037, Industry Top, (040) 23079310  23079311,"<a href=""http://www.lokeshmachines.com""  target=""_blank"">www.lokeshmachines.com</a>"
