company_name,city,state,pin_code,company_type,contact_number,company_website
 Kamdar Carz Pvt Ltd  ,Ahmedabad,Gujarat,380051, SMEs, (079) 7600080100  30084343,"<a href=""http://www.kamdarcarz.com""  target=""_blank"">www.kamdarcarz.com</a>"
 Kamath Motors  ,Udupi,Karnataka,576101, Industry Top, (0820) 2575877  2575866,Website Not Found
 Kamaz Motors Ltd ,Hosur,TamilNadu,635126, Industry Top, (04344) 406868  406810,"<a href=""http://kamazmotors.in""  target=""_blank"">kamazmotors.in</a>"
 Kamat Automobiles Pvt Ltd  ,Goa,Goa,403204, Industry Top, (0832) 2217291  2217292,Website Not Found
 Kamal Motors (Ailsinghani Group)  ,Mumbai,Maharashtra,400703, SMEs, (022) 27708982  27708798,"<a href=""http://www.kamalmotors.co.in""  target=""_blank"">www.kamalmotors.co.in</a>"
 Kamal Motors  ,Mumbai,Maharashtra,400703, Industry Top, (022) 27708982,"<a href=""http://www.kamalmotors.co.in""  target=""_blank"">www.kamalmotors.co.in</a>"
 Kamal Enterprises  ,Bhatinda,Punjab,151001, SMEs, (0164) 2240154   9888307077,Website Not Found
 Kamal Bajaj  ,Baramati,Maharashtra,413102, SMEs, (02112) 9673005507,Website Not Found
 Kamal Auto Industries  ,Noida,UttarPradesh,201309, SMEs, (0120) 4323436,"<a href=""http://kamal-auto.com""  target=""_blank"">kamal-auto.com</a>"
" Kalyani Motors, Nagadevanahalli  ",Bangalore,Karnataka,560056, SMEs, (080) 30036060,"<a href=""http://www.kalyanimotors.com""  target=""_blank"">www.kalyanimotors.com</a>"
" Kalyani Motors, Kundalahalli  ",Bangalore,Karnataka,560066, Industry Top, (080) 30419090,"<a href=""http://www.kalyanimotors.com""  target=""_blank"">www.kalyanimotors.com</a>"
" Kalyani Motors, K R Puram  ",Bangalore,Karnataka,560049, SMEs, (080) 33235000,"<a href=""http://www.kalyanimotors.com""  target=""_blank"">www.kalyanimotors.com</a>"
" Kalyani Motors, Channapatna  ",Bangalore,Karnataka,562160, SMEs, (080) 9900038117,Website Not Found
" Kalyani Motors, BG Road  ",Bangalore,Karnataka,560076, SMEs, (080) 30414999,"<a href=""http://www.kalyanimotors.com""  target=""_blank"">www.kalyanimotors.com</a>"
" Kalyani Motors, Banaswadi  ",Bangalore,Karnataka,560043, SMEs, (080) 46699666,Website Not Found
 Kalyani Motors Pvt Ltd  ,Bangalore,Karnataka,560039, Industry Top, (080) 30999999,"<a href=""http://www.kalyanimotors.com""  target=""_blank"">www.kalyanimotors.com</a>"
 Kalyani Forge Ltd  ,Nahavara,Maharashtra,412207, Industry Top, (02137) 252335,"<a href=""http://kalyaniforge.co.in""  target=""_blank"">kalyaniforge.co.in</a>"
 Kalyani Bajaj  ,Bangalore,Karnataka,560080, Industry Top, (080) 41138210  41138211,"<a href=""http://www.kalyanibajaj.com""  target=""_blank"">www.kalyanibajaj.com</a>"
 Kalyan Auto Sales  ,Agra,UttarPradesh,282007, SMEs, (0562) 9456469759,Website Not Found
 Kalsi Motors  ,Ludhiana,Punjab,141003, Industry Top, (0161) 4694300  9872035221,Website Not Found
 Kalra Overseas & Precision Engineering Ltd  ,Pune,Maharashtra,411001, SMEs, (020) 66011394  26123794,Website Not Found
 Kalptaru Hero  ,Dehradun,Uttaranchal,248002, Industry Top, (0135) 9997616666,Website Not Found
 Kallingal Bajaj  ,Thiruvananthapuram,Kerala,695541, Industry Top, (0471) 9847088833,Website Not Found
 Kalleshwara Motors Pvt Ltd (Lakshmi Suzuki)  ,Davangree,Karnataka,577006, SMEs, (08192) 9844255540,Website Not Found
 Kalaimagal Suzuki  ,Ramanathapuram,TamilNadu,623502, SMEs, (04567) 223299,Website Not Found
 Kakkassery Agencies  ,Thrissur,Kerala,680506, SMEs, (0487 ) 8606586601,Website Not Found
 Kakkad Bajaj  ,Rajandgaon,Chattisgarh,491441, Industry Top, (07744) 9301111111  9893638100,"<a href=""http://www.bajajauto.com""  target=""_blank"">www.bajajauto.com</a>"
 Kailash Vahan Udyog Ltd(KVUL).  ,Khed,Maharashtra,412015, Industry Top, (02135) 307724,"<a href=""http://www.kvul.in""  target=""_blank"">www.kvul.in</a>"
 Kaikan Ford  ,Kolkata,WestBengal,700059, SMEs, (033) 30078500  9674448833,"<a href=""http://www.kaikanford.com""  target=""_blank"">www.kaikanford.com</a>"
 Kadian Automobiles  ,Panipat,Haryana,132103, Industry Top, (0180) 2575777,Website Not Found
 Kach Motors Pvt Ltd  ,Indore,MadhyaPradesh,452018, SMEs, (0731) 4078882,"<a href=""http://www.kachmotors.com""  target=""_blank"">www.kachmotors.com</a>"
 K.A.R. Scanning Centre Pvt Ltd  ,NewDelhi,Delhi,110048, SMEs," (011) 29219915, 29211373","<a href=""http://www.karscanningcentre.com""  target=""_blank"">www.karscanningcentre.com</a>"
 K S Cars Pvt Ltd  ,Bhilwara,Rajasthan,311001, SMEs, (01482) 9829792037,Website Not Found
 K P Automobiles Pvt Ltd  ,Ranchi,Jharkhand,834001, SMEs, (0651) 7781017929,"<a href=""http://www.kpauto.in""  target=""_blank"">www.kpauto.in</a>"
 K D Rubber Industries  ,Jaipur,Rajasthan,302013, SMEs, (0141) 2460753  4048557,"<a href=""http://www.kdrubberhoses.com""  target=""_blank"">www.kdrubberhoses.com</a>"
 K C Motors  ,Jammu,Jammu&Kashmir,180004, SMEs, (0191) 2465759  2465769,"<a href=""http://kcgroup.org""  target=""_blank"">kcgroup.org</a>"
 Jyoti Motors  ,Ludhiana,Punjab,141007, SMEs, (0161) 9914000363  9814679717,Website Not Found
 Jyote Motors Pvt Ltd  ,Bhubaneswar,Orissa,751002, Industry Top, (0674) 2436829   2436831,"<a href=""http://www.jyotemotors.com""  target=""_blank"">www.jyotemotors.com</a>"
 Jwala Suzuki  ,Jamshedpur,Jharkhand,831001, SMEs, (0657) 2441659  2441660,Website Not Found
 Jumps Auto Industries Ltd  ,Gurgaon,Haryana,122014, Industry Top, (0124) 4710100,"<a href=""http://www.jumpsindia.com""  target=""_blank"">www.jumpsindia.com</a>"
 JVR Forgings Ltd  ,Ludhiana,Punjab,141010, Industry Top, (0161) 2511608  2511610,"<a href=""http://www.jvrforgings.com""  target=""_blank"">www.jvrforgings.com</a>"
 K N Motors Pvt Ltd  ,Lucknow,UttarPradesh,226001, SMEs, (0522) 4109346  4109347,"<a href=""http://www.narainford.com""  target=""_blank"">www.narainford.com</a>"
 Jugal Kishore Force  ,Lucknow,UttarPradesh,226025, SMEs, (0522) 9335299773,Website Not Found
 Jullundur Motor Agency Delhi Ltd  ,Gurgaon,Haryana,122001, Industry Top, (0124) 4233868  3019210,"<a href=""http://www.jmaindia.com""  target=""_blank"">www.jmaindia.com</a>"
 Jubilant Performance Cars Pvt Ltd  ,Mumbai,Maharashtra,400025, MNC, (022) 24911911,"<a href=""http://www.jubilantperformancecars.com""  target=""_blank"">www.jubilantperformancecars.com</a>"
 Jubilant Cruiserz Pvt Ltd  ,Guntur,AndhraPradesh,522001, SMEs, (0863) 8886669816  39595895,Website Not Found
 Jubily Automobiles  ,Kottayam,Kerala,686006, Industry Top, (0481) 2583790  2583791,"<a href=""http://www.jubilyhero.com""  target=""_blank"">www.jubilyhero.com</a>"
 JS Fourwheel Pvt Ltd  ,Ajmer,Rajasthan,301001, Industry Top, (0145) 9413389601,"<a href=""http://www.js4wheel.com""  target=""_blank"">www.js4wheel.com</a>"
 JS Bajaj  ,NewDelhi,Delhi,110040, Industry Top, (011) 27283000  27284444,Website Not Found
 JR Automotives  ,Agra,UttarPradesh,282007, SMEs, (0562) 9568009158,"<a href=""http://www.jrautomotives.com""  target=""_blank"">www.jrautomotives.com</a>"
 JSR Suzuki  ,NewDelhi,Delhi,110005, Industry Top, (011) 45541846  9711798081,Website Not Found
 JPM Group ,Gurgaon,Haryana,122001, India's 501-1000, (0124) 4623400  4563600,"<a href=""http://www.jpmgroup.co.in""  target=""_blank"">www.jpmgroup.co.in</a>"
 JPM Automobiles Ltd ,Gurgaon,Haryana,122001, Industry Top, (0124) 2468575  2468965,"<a href=""http://www.jpmgroup.co.in""  target=""_blank"">www.jpmgroup.co.in</a>"
 JOST INDIA Auto Components Pvt Ltd  ,Jamshedpur,Jharkhand,832108, Industry Top, (0657) 6617500,"<a href=""http://www.jost-india.com""  target=""_blank"">www.jost-india.com</a>"
 Joshi Autozone Pvt Ltd  ,Chandigarh,Chandigarh,160002, SMEs, (0172) 5050000  09878622222,"<a href=""http://www.joshiautozone.com""  target=""_blank"">www.joshiautozone.com</a>"
 Joshi Automotives Pvt Ltd  ,Chandigarh,Chandigarh,160002, Industry Top, (0172) 5022222,Website Not Found
 Johnson Controls Automotive Ltd  ,Pune,Maharashtra,411027, MNC, (020) 66738701  22932115,"<a href=""http://www.johnsoncontrols.com""  target=""_blank"">www.johnsoncontrols.com</a>"
 JNS Instruments Ltd ,Gurgaon,Haryana,122050, Industry Top, (0124) 4395500,"<a href=""http://www.jpmgroup.co.in""  target=""_blank"">www.jpmgroup.co.in</a>"
 JMT Auto Ltd ( Amtek Co. ) ,Jamshedpur,Jharkhand,832109, Industry Top, (0657) 6626331  6626333,"<a href=""http://www.jmtauto.com""  target=""_blank"">www.jmtauto.com</a>"
 JMK Toyota  ,Jhansi,UttarPradesh,284003, SMEs, (0510) 8419855555,"<a href=""http://www.jmktoyota.com""  target=""_blank"">www.jmktoyota.com</a>"
 Jmk Auto Pvt Ltd  ,Jhansi,UttarPradesh,284001, SMEs, (0510) 2481355  2481455,"<a href=""http://www.jmkgroup.co.in""  target=""_blank"">www.jmkgroup.co.in</a>"
 JMG Automobiles  ,Cuttak,Orissa,753012, Industry Top, (0671) 2324078,Website Not Found
" JMD Auto Pvt Ltd,Thane  ",Thane,Maharashtra,400601, SMEs, (0251) 25395900 27755900,"<a href=""http://www.skodajmd.com""  target=""_blank"">www.skodajmd.com</a>"
" JMD Auto Pvt Ltd,Kandivali West  ",Mumbai,Maharashtra,400067, SMEs, (022) 29676400 29676405 29676406,"<a href=""http://www.skodajmd.com""  target=""_blank"">www.skodajmd.com</a>"
" JMD Auto Pvt Ltd,Bhandup (W)  ",Mumbai,Maharashtra,400078, SMEs, (022) 25665800 7738150572,"<a href=""http://www.skodajmd.com""  target=""_blank"">www.skodajmd.com</a>"
 Jmb Hyosung  ,Chennai,TamilNadu,600010, SMEs, (044) 65412777 9941351000,Website Not Found
 JM Frictech India Pvt Ltd  ,Chennai,TamilNadu,602105, SMEs, (044) 67131343  67131353,"<a href=""http://www.jmil.in""  target=""_blank"">www.jmil.in</a>"
 JMD Auto India Pvt Ltd (Skoda)  ,Mumbai,Maharashtra,400702, Industry Top, (022) 27755901  27755900,"<a href=""http://www.skodajmd.com""  target=""_blank"">www.skodajmd.com</a>"
 Kerala Volvo  ,Kochi,Kerala,682304, Industry Top, (0484) 2705589,Website Not Found
 JK Wheels Pvt Ltd  ,Malda,WestBengal,732103, Industry Top, (03512) 9733020202,Website Not Found
 JKM Motors Pvt Ltd  ,NewDelhi,Delhi,110024, SMEs, (011) 41724000,"<a href=""http://www.jkmmotors.com""  target=""_blank"">www.jkmmotors.com</a>"
 JK Tyre & Industries Ltd ,NewDelhi,Delhi,110002, India's Top 500, (011) 33001112  23311112,"<a href=""http://www.jktyre.com""  target=""_blank"">www.jktyre.com</a>"
 JK International  ,Jalandhar,Punjab,144012, SMEs, (0181) 2600136,"<a href=""http://www.jkinternational.org""  target=""_blank"">www.jkinternational.org</a>"
 JK Auto Parts  ,Pune,Maharashtra,411017, SMEs, (020) 27410117,Website Not Found
 JJ Automotive Ltd  ,Kolkata,WestBengal,700016, Industry Top, (033) 22291083  22291084,"<a href=""http://www.jjautomotive.co.in""  target=""_blank"">www.jjautomotive.co.in</a>"
 Jivanjyot Motors Pvt Ltd  ,Silvassa,Dadra&NagarHavelli,396230, Industry Top, (0260) 9879100422,Website Not Found
 Jivan Jyot Motors Pvt Ltd (Dream Honda)  ,Surat,Gujarat,394210, SMEs, (0261) 4060400,"<a href=""http://www.dreamhonda.in""  target=""_blank"">www.dreamhonda.in</a>"
 Jitendra Wheels Pvt Ltd  ,Nashik,Maharashtra,422001, SMEs, (0253) 6637777,Website Not Found
 Jitendra Motors Pvt Ltd  ,Nashik,Maharashtra,422010, SMEs, (0253) 2384432  2384532,"<a href=""http://www.jitendras.com""  target=""_blank"">www.jitendras.com</a>"
 Jindal Buildsys Ltd  ,Gurgaon,Haryana,122001, SMEs, (0124) 4422800,"<a href=""http://www.jindalbuildsys.com""  target=""_blank"">www.jindalbuildsys.com</a>"
 Jindal Fine Industries(Jindal Group)  ,Ludhiana,Punjab,141011, Industry Top, (0161) 2510191  5013672,"<a href=""http://www.jindalfine.com""  target=""_blank"">www.jindalfine.com</a>"
 Jindal Bajaj  ,Raigarh,Maharashtra,496001, Industry Top, (07762) 320267  9827957629,Website Not Found
 Jijai Industries  ,Aurangabad,Maharashtra,431133, SMEs, (0240) 2553561,Website Not Found
 Jhalani Motors  ,Jaipur,Rajasthan,303313, Industry Top, (0141) 9782517010,Website Not Found
 Jetex Carburattors Pvt Ltd  ,Savli,Gujarat,391520, SMEs, (02667) 251356  251502,"<a href=""http://www.jetex.in""  target=""_blank"">www.jetex.in</a>"
 JEI Bearings  ,Rajkot,Gujarat,360004, SMEs, (0281) 2311214  9824228157,"<a href=""http://www.jeibearings.com""  target=""_blank"">www.jeibearings.com</a>"
 Jeewan Motors  ,Vaniyambadi,TamilNadu,635802, SMEs, (04174) 9344449595 244419,Website Not Found
 Jeet Wheelocity Pvt Ltd  ,Parbhani,Maharashtra,431401, Industry Top, (02452) 9767552222   9922929920,Website Not Found
 JD Motors  ,Kishanganj,Bihar,855108, Industry Top, (06456) 223604  9431232101,"<a href=""http://www.jdmotors.com""  target=""_blank"">www.jdmotors.com</a>"
 JBM MA Automotive Pvt Ltd ,Gurgaon,Haryana,122003, SMEs, (0124) 4674500,Website Not Found
 JBM Auto Ltd ,Gurgaon,Haryana,122001, Industry Top, (0124) 4674500,"<a href=""http://www.jbm-group.com""  target=""_blank"">www.jbm-group.com</a>"
 JBM Group ,Gurgaon,Haryana,122001, India's 501-1000, (0124) 4674500,"<a href=""http://www.jbm-group.com""  target=""_blank"">www.jbm-group.com</a>"
 JD Auto Electricals Pvt Ltd  ,Gurgaon,Haryana,122002, SMEs, (0124) 2212040,"<a href=""http://www.jdautoelectricals.in""  target=""_blank"">www.jdautoelectricals.in</a>"
 JBD Diesels  ,Chandigarh,Chandigarh,160101, SMEs, (0172) 8288048801,"<a href=""http://www.jbddiesels.com""  target=""_blank"">www.jbddiesels.com</a>"
 JCBL Ltd  ,Chandigarh,Chandigarh,160002, Industry Top, (0172) 3013095  3013096,"<a href=""http://www.jcblgroup.com""  target=""_blank"">www.jcblgroup.com</a>"
 Jazzmyride.com  ,NewDelhi,Delhi,110015, SMEs, (011) 46203750,"<a href=""http://www.jazzmyride.com""  target=""_blank"">www.jazzmyride.com</a>"
" Jayshree Toyota, Asansol  ",Asansol,WestBengal,713301, Industry Top, (0341) 9434788369,"<a href=""http://www.jayshreetoyota.com""  target=""_blank"">www.jayshreetoyota.com</a>"
 Jayshree Motors  ,Porbandar,Gujarat,360575, SMEs, (0286) 2221944  9825230044,Website Not Found
 Jayshree Bajaj  ,Shahdol,MadhyaPradesh,484001, SMEs, (07652) 231428 231813,Website Not Found
 Jayem Auto Industries Pvt Ltd  ,Faridabad,Haryana,121007, SMEs, (0129) 4107701 4107702,"<a href=""http://www.jayemindustries.com""  target=""_blank"">www.jayemindustries.com</a>"
 Jaydeep Auto  ,Vadodara,Gujarat,390014, Industry Top, (0265) 2636416  6543999,Website Not Found
 Jaycee Motors ,Amritsar,Punjab,143006, SMEs, (0183) 2581335  2581334,Website Not Found
 Jayaram Automobiles  ,Kakinada,AndhraPradesh,533001, Industry Top, (0884) 2365878  2378907,Website Not Found
 Jaybee Auto Agencies Pvt Ltd  ,Dibrugarh,Assam,786001, SMEs, (0373) 8011051480,Website Not Found
 Jayanand Khira & Co. Pvt. Ltd  ,Pune,Maharashtra,411026, Industry Top, (020) 46764949,"<a href=""http://www.khiramotors.com""  target=""_blank"">www.khiramotors.com</a>"
 Jayalakshmi Automotives Pvt Ltd  ,Guntur,AndhraPradesh,522001, SMEs, (0863) 2241000  2242000,Website Not Found
 Karan City Automobiles Pvt Ltd.  ,Raipur,Chattisgarh,492013, SMEs, (0771) 4072072,Website Not Found
 Jayabheri Automotives Pvt Ltd  ,Visakhapatnam,AndhraPradesh,530022, SMEs, (0891) 2505000,Website Not Found
 Jaya Suzuki  ,Namakkal,TamilNadu,637001, SMEs, (04286) 277728  277758,Website Not Found
 Jaya Lakshmi Automotives Pvt Ltd  ,Guntur,AndhraPradesh,522001, SMEs, (0863) 2241000,Website Not Found
 Jaydev Motors  ,Udupi,Karnataka,576119, Industry Top, (0820) 9980911462,Website Not Found
 Jaya Automobiles  ,Bhiwani,Haryana,125021, Industry Top, (01664) 243195  9812129365,Website Not Found
 Jay Sai Motors  ,Rishikesh,Uttaranchal,249201, Industry Top, (0135) 2435626,Website Not Found
 Jay Bharath Cycle & Moped Works  ,Puducherry(Pondicherry),TamilNadu,605003, SMEs, (0413) 2201336  9843777860,Website Not Found
 Jaya Hind Industries Ltd  ,Pune,Maharashtra,411035, Industry Top, (020) 27473981  27473982,"<a href=""http://www.jayahind.com""  target=""_blank"">www.jayahind.com</a>"
 Jay Bharat Maruti Ltd ,Gurgaon,Haryana,122002, India's 501-1000, (0124) 4674500,"<a href=""http://www.jbm-group.com""  target=""_blank"">www.jbm-group.com</a>"
 Jay Auto Components Ltd ,Gurgaon,Haryana,122001, Industry Top, (0124) 4536400,"<a href=""http://www.jpmgroup.co.in""  target=""_blank"">www.jpmgroup.co.in</a>"
 Jay Ace Technologies Ltd ,NewDelhi,Delhi,110034, Industry Top, (011) 42066666,"<a href=""http://jpmgroup.co.in""  target=""_blank"">jpmgroup.co.in</a>"
 Jay Bharat Exhaust Systems Ltd( JBM ) ,Gurgaon,Haryana,122016, Industry Top, (0124) 9999169804,"<a href=""http://www.jbm-group.com""  target=""_blank"">www.jbm-group.com</a>"
 Jaswant Motors  ,Jalandhar,Punjab,144001, Industry Top, (0181) 2235732  4617732,Website Not Found
 Jasper Industries Pvt. Ltd (TATA)  ,Hyderabad,Telangana,500004, Industry Top, (040) 66621111  23399603,"<a href=""http://www.jasperindustries.com""  target=""_blank"">www.jasperindustries.com</a>"
 Jay Vijay Motors Pvt Ltd  ,Pune,Maharashtra,411005, SMEs, (020) 8888855590,Website Not Found
 Jasodha Auto Pvt Ltd  ,Gurgaon,Haryana,122002, SMEs, (0124) 4009503,"<a href=""http://www.jasodhahero.heromotocorpdealers.com""  target=""_blank"">www.jasodhahero.heromotocorpdealers.com</a>"
 Japji Enterprises  ,NewDelhi,Delhi,110042, SMEs, (011) 27837881,"<a href=""http://www.japjiparts.com""  target=""_blank"">www.japjiparts.com</a>"
 Janani Automobiles Pvt Ltd  ,Mysore,Karnataka,570017, Industry Top, (0821) 4000626   9342233375,Website Not Found
 Janak Enterprises  ,Bhavnagar,Gujarat,364060, SMEs, (0278) 09975669481,"<a href=""http://www.janakent.com""  target=""_blank"">www.janakent.com</a>"
 Jamna Auto Industries Ltd  ,NewDelhi,Delhi,110070, India's 501-1000, (011) 26896960  26893331,"<a href=""http://www.jaispring.com""  target=""_blank"">www.jaispring.com</a>"
 Jammu Motors Pvt Ltd  ,Jammu,Jammu&Kashmir,180016, Industry Top, (0191) 2504746  2552977,"<a href=""http://www.jammumotors.com""  target=""_blank"">www.jammumotors.com</a>"
 Jamkash Vehicleades Pvt Ltd  ,Jammu,Jammu&Kashmir,180001, Industry Top, (0191) 9419213219,"<a href=""http://www.vehicleades.com""  target=""_blank"">www.vehicleades.com</a>"
 Jalaram Hero  ,Surat,Gujarat,395009, Industry Top, (0261) 2790766  2789026,Website Not Found
 Jalandhar Central Probiking  ,Jalandhar,Punjab,144001, SMEs, (0181) 5025333,Website Not Found
 Jaiswal Motors  ,Singrauli,MadhyaPradesh,486886, SMEs," (07805) 234588, 9826408832",Website Not Found
 Jainson Castors  ,Gurgaon,Haryana,122006, SMEs, (0124) 4286644,"<a href=""http://www.jainsoncastors.com""  target=""_blank"">www.jainsoncastors.com</a>"
 Jain Udyog  ,Agartala,Tripura,799003, Industry Top, (0381) 2373203,Website Not Found
 Jainco Automobiles Pvt Ltd (J&K)  ,Jammu,Jammu&Kashmir,180005, Industry Top, (0191) 2584236  2584237,"<a href=""http://www.jaincohero.heromotocorpdealers.com""  target=""_blank"">www.jaincohero.heromotocorpdealers.com</a>"
 Jains Suzuki  ,Chennai,TamilNadu,600043, Industry Top, (044) 22644001 22644002,Website Not Found
 Jain Motors  ,Kanpur,UttarPradesh,208011, SMEs, (0512) 9415041267,Website Not Found
 Jaika Cars.  ,Nagpur,Maharashtra,440026, Industry Top, (0712) 9850397952,Website Not Found
" Jaihind Bajaj, Junnar  ",Junnar,Maharashtra,410504, SMEs, (02132) 242527  9960012727,Website Not Found
 Jai Ganesh Autocorp Pvt Ltd  ,Bhavnagar,Gujarat,364001, SMEs, (0278) 2444444,"<a href=""http://www.jaiganeshtoyota.com""  target=""_blank"">www.jaiganeshtoyota.com</a>"
 Jai Motors (Liners India Ltd)  ,Chennai,TamilNadu,600002, SMEs, (044) 28522462   28522531,"<a href=""http://www.jaimotors.com""  target=""_blank"">www.jaimotors.com</a>"
 Jai Ganesh Auto Care Pvt Ltd  ,Morvi,Gujarat,363641, SMEs, (02822) 224373,Website Not Found
" Jai Cars Pvt Ltd,Udaipur  ",Udaipur,Rajasthan,313001, SMEs, (0294) 9414104866,Website Not Found
 Jai Bhawani Mata Industries  ,Pune,Maharashtra,411039, SMEs, (020) 27128026,"<a href=""http://www.jbmindustries.in""  target=""_blank"">www.jbmindustries.in</a>"
 Jai Auto Engineering Works  ,Ahmedabad,Gujarat,382415, SMEs, (079) 9426057812,"<a href=""http://jaigoldcylinderliner.com""  target=""_blank"">jaigoldcylinderliner.com</a>"
 Jagmohan Motors Ltd  ,Rohtak,Haryana,124001, SMEs, (01262) 9812000359,Website Not Found
 Jagmohan Motors  ,Sonepat,Haryana,131001, Industry Top, (0130) 2230114,Website Not Found
 Jagdambay Engg. & Welding Works  ,Jalandhar,Punjab,144004, SMEs, (0181) 2602465,"<a href=""http://www.jagdambay.com""  target=""_blank"">www.jagdambay.com</a>"
 Jai Auto Industries  ,Ahmedabad,Gujarat,382415, SMEs, (079) 22874461,"<a href=""http://www.jailiners.com""  target=""_blank"">www.jailiners.com</a>"
 Jagan Lamps Ltd  ,Sonepat,Haryana,131028, SMEs, (0130) 9136205352,"<a href=""http://www.jaganlamps.com""  target=""_blank"">www.jaganlamps.com</a>"
 Jagajampi Bajaj  ,Belgaum,Karnataka,590001, Industry Top, (0831) 4206555  4206255,Website Not Found
 Jagadeeswari Motors  ,Kakinada,AndhraPradesh,533002, SMEs, (0884) 2346867  2346869,Website Not Found
 Jagadamba Auto-Components Ltd  ,Nahavara,Maharashtra,412216, SMEs, (02137) 301400  301406,"<a href=""http://www.auto-components.com""  target=""_blank"">www.auto-components.com</a>"
 Jadhao Gears Pvt Ltd ,Amravati,Maharashtra,444605, Industry Top, (0721) 2522967 2521382,Website Not Found
 Jaaps Automotive Pvt Ltd  ,Vasai,Maharashtra,401208, SMEs, (0250) 2457025  2457026,"<a href=""http://www.jaaps.in""  target=""_blank"">www.jaaps.in</a>"
 J.R. Automotives  ,Agra,UttarPradesh,282007, Industry Top, (0562) 2641318  9927860666,"<a href=""http://www.jrautomotives.com""  target=""_blank"">www.jrautomotives.com</a>"
 J. S. Auto Pvt Ltd  ,Kanpur,UttarPradesh,208022, SMEs, (0512) 3293580  9839431726,"<a href=""http://www.jsauto.co.in""  target=""_blank"">www.jsauto.co.in</a>"
 J Williams and Co.  ,Pune,Maharashtra,411002, SMEs, (020) 26331035,Website Not Found
 J K Fenner India Ltd ,Chennai,TamilNadu,600035, Industry Top, (044) 43994666,"<a href=""http://www.fennerindia.com""  target=""_blank"">www.fennerindia.com</a>"
 J D Auto Electricals Pvt Ltd  ,Gurgaon,Haryana,122001, SMEs, (0124) 2212040,"<a href=""http://www.jdautoelectricals.in""  target=""_blank"">www.jdautoelectricals.in</a>"
 J & K Motors  ,Srinagar,Jammu&Kashmir,190001, Industry Top, (0194) 9906740001,"<a href=""http://www.jandkhero.heromotocorpdealers.com""  target=""_blank"">www.jandkhero.heromotocorpdealers.com</a>"
 Ishna Hero  ,Mumbai,Maharashtra,400093, Industry Top, (022) 28328938,Website Not Found
 Ipsen Technologies Pvt Ltd  ,Kolkata,WestBengal,743503, MNC, (033) 24978314   24978038,"<a href=""http://www.ipsenindia.com""  target=""_blank"">www.ipsenindia.com</a>"
 IPFonline Ltd  ,Mumbai,Maharashtra,400015, SMEs, (022) 24193000  24105619,"<a href=""http://www.ipfonline.com""  target=""_blank"">www.ipfonline.com</a>"
 IPA Pvt Ltd  ,Bangalore,Karnataka,560058, SMEs, (080) 28360253,"<a href=""http://www.ipaindia.com""  target=""_blank"">www.ipaindia.com</a>"
 IP Rings Ltd ,Chennai,TamilNadu,603209, Industry Top, (044) 27452816  27452851,"<a href=""http://www.iprings.com""  target=""_blank"">www.iprings.com</a>"
 Inzi Controls India Ltd  ,Chennai,TamilNadu,602105, MNC, (044) 37189525  37189526,"<a href=""http://www.inzi.co.kr""  target=""_blank"">www.inzi.co.kr</a>"
 Intrac Tyres Pvt Ltd  ,Hyderabad,Telangana,500018, SMEs, (040) 23701062  23810620,"<a href=""http://www.intractyres.com""  target=""_blank"">www.intractyres.com</a>"
 Inteva Products India Automotive Pvt Ltd  ,Bangalore,Karnataka,560045, MNC, (080) 46552500,"<a href=""http://www.intevaproducts.com""  target=""_blank"">www.intevaproducts.com</a>"
 Intervalve India Ltd  ,Pune,Maharashtra,411028, Industry Top, (020) 26993900  26993904,"<a href=""http://www.poonawallagroup.com""  target=""_blank"">www.poonawallagroup.com</a>"
 International Tractors Ltd( Sonalika )  ,Hoshiarpur,Punjab,146022, India's 501-1000, (01882) 302220  302223,"<a href=""http://www.sonalika.com""  target=""_blank"">www.sonalika.com</a>"
" Inspire Honda, Mysore  ",Mysore,Karnataka,570018, SMEs, (0821) 4009425  4009450,"<a href=""http://www.inspirehonda.com""  target=""_blank"">www.inspirehonda.com</a>"
" Inspire Honda, Hassan  ",Hassan,Karnataka,573217, SMEs, (08172) 9742297444,Website Not Found
 Insulation & Electrical Products Pvt Ltd  ,Gurgaon,Haryana,122008, SMEs, (0124) 4334555,Website Not Found
 Integrated Engineers & Contractors  ,Sonepat,Haryana,131029, SMEs, (0130) 6518880,"<a href=""http://www.iec.co.in""  target=""_blank"">www.iec.co.in</a>"
 Innova Rubbers Pvt Ltd  ,Nashik,Maharashtra,422010, Industry Top, (0253) 2381065,"<a href=""http://www.innovarubbers.com""  target=""_blank"">www.innovarubbers.com</a>"
 Ingeco Gears Pvt Ltd  ,Changodar,Gujarat,382213, SMEs, (02717) 651551  651552,"<a href=""http://www.ingecogears.com""  target=""_blank"">www.ingecogears.com</a>"
 Innovative Arts  ,Faridabad,Haryana,121004, SMEs, (0129) 09810729040,Website Not Found
" Infinium Toyota, Vadodara  ",Ahmedabad,Gujarat,391740, Industry Top, (079) 66041400  8347008629,"<a href=""http://www.infinium-toyota.com""  target=""_blank"">www.infinium-toyota.com</a>"
" Infinium Toyota, Rajkot  ",Rajkot,Gujarat,360004, SMEs, (0281) 6196000,"<a href=""http://www.infinium-toyota.com""  target=""_blank"">www.infinium-toyota.com</a>"
" Infinium Toyota, Mehsana  ",Mehsana,Gujarat,384001, Industry Top, (02762) 666999,Website Not Found
